latitude,longitude,name,class,mass,year,imageUrl
48.38149091,37.9071745,29987,TRUE,8,2022,
50.93503348,32.13391,29982,TRUE,7,2022,
50.584981,30.235748,29981,FALSE,8,2022,
50.05518965,35.8978999,29973,TRUE,3,2022,
48.95167001,37.836418,29964,TRUE,6,2022,
49.52867464,26.7365446,29963,FALSE,4,2023,
51.503653,31.293167,29953,TRUE,10,2022,
50.4981883,31.25028,29952,TRUE,3,2022,
50.57688003,30.26499,29950,TRUE,4,2022,
50.46536002,29.80504999,29949,TRUE,8,2023,
50.47819382,29.96191,29948,TRUE,7,2023,
50.69015345,29.99471,29943,TRUE,7,2023,
50.46098609,29.81188,29937,TRUE,9,2023,
51.61622216,34.0305,29926,TRUE,1,2022,
51.57008198,34.12458,29923,TRUE,2,2022,
50.5610196,30.32702016,29922,TRUE,9,2023,
50.62755469,29.87616,29920,TRUE,3,2023,
50.28719066,36.92121987,29916,TRUE,8,2023,
51.503653,31.293167,29913,TRUE,9,2023,
50.6310318,30.87373,29911,TRUE,7,2022,
51.503653,31.293167,29909,TRUE,3,2022,
49.40497223,31.89566667,29908,TRUE,6,2023,
51.503653,31.293167,29905,TRUE,6,2022,
50.4217073,30.24289062,29903,TRUE,10,2023,
50.81714428,29.5903,29901,TRUE,4,2022,
50.9467213,30.43659,29897,TRUE,2,2022,
49.23777286,26.70331333,29894,TRUE,6,2023,
50.33831127,29.72029,29892,TRUE,7,2023,
49.87343175,30.08462,29891,TRUE,8,2022,
50.85274274,30.39791,29890,TRUE,6,2022,
50.55731179,30.33217,29889,TRUE,3,2022,
45.44340128,29.26467,29885,TRUE,8,2023,
49.63123226,37.67029396,29882,TRUE,1,2023,
46.61301267,30.77231,29881,TRUE,4,2023,
50.10790588,36.35894086,29877,TRUE,2,2022,
49.36467277,37.60985383,29875,TRUE,8,2023,
50.28541859,36.92506079,29874,TRUE,10,2023,
49.74304103,36.54548,29866,TRUE,7,2023,
51.503653,31.293167,29862,TRUE,8,2022,
50.584981,30.235748,29861,FALSE,8,2023,
50.29399767,36.93624,29853,TRUE,4,2022,
50.584981,30.235748,29850,FALSE,5,2022,
50.72929565,30.02444,29847,TRUE,5,2023,
50.48436382,29.64025,29832,TRUE,5,2022,
50.51092343,29.80774,29831,TRUE,1,2022,
50.45571238,29.86967,29825,TRUE,6,2023,
49.19947801,26.857474,29823,FALSE,3,2022,
50.54040354,30.2632586,29821,TRUE,1,2022,
50.51950002,30.25424,29820,TRUE,3,2023,
48.24800001,37.59547222,29819,TRUE,9,2022,
50.55200299,30.21474,29814,TRUE,6,2022,
50.57693468,30.11446,29809,TRUE,2,2023,
51.503653,31.293167,29798,TRUE,1,2023,
50.48436382,29.64025,29793,TRUE,2,2022,
49.33944001,36.81792,29792,TRUE,3,2023,
50.07469607,29.91569,29791,TRUE,10,2022,
50.15973734,37.39683995,29788,TRUE,5,2023,
49.39157319,32.07947696,29786,TRUE,8,2022,
50.45571238,29.86967,29782,TRUE,9,2023,
50.10144651,36.77131671,29769,TRUE,2,2023,
51.503653,31.293167,29766,TRUE,4,2022,
49.6701389,32.03555556,29765,TRUE,2,2023,
50.07469607,29.91569,29764,TRUE,5,2022,
50.29658178,31.36553,29763,TRUE,3,2022,
51.503653,31.293167,29755,TRUE,1,2022,
49.4166667,27,29750,FALSE,5,2023,
50.56433179,30.81914,29749,TRUE,3,2023,
50.20487708,37.11423,29741,TRUE,9,2022,
49.65434119,30.46635,29739,TRUE,4,2022,
50.56841561,30.2651,29738,TRUE,4,2023,
50.45782271,30.16955,29737,TRUE,5,2022,
50.9169713,30.34938,29736,TRUE,3,2023,
50.40873178,30.25897,29735,TRUE,6,2022,
50.8481367,30.05811,29734,TRUE,10,2023,
48.15009313,24.75832876,29730,TRUE,5,2022,
51.30755279,32.77063,29722,TRUE,2,2023,
48.0929972,24.59652948,29721,TRUE,4,2023,
49.4166667,27,29714,FALSE,3,2022,
48.37711931,37.9055716,29713,TRUE,10,2023,
49.4333333,32.0666667,29712,TRUE,3,2022,
50.44360263,30.15134667,29711,FALSE,5,2022,
51.61361159,31.19989,29710,TRUE,4,2023,
49.51536388,36.75528102,29709,TRUE,5,2023,
50.15161418,29.76913,29707,TRUE,9,2022,
50.584981,30.235748,29700,TRUE,7,2022,
50.584981,30.235748,29697,TRUE,7,2022,
50.40848965,35.84032658,29696,TRUE,9,2023,
50.56841561,30.2651,29692,TRUE,7,2022,
50.67324107,30.30914,29687,TRUE,1,2023,
50.48660306,29.71549,29686,TRUE,5,2022,
48.3036,32.16,29685,FALSE,10,2022,
49.35388355,37.64590272,29683,TRUE,5,2023,
50.33269,36.19571003,29677,TRUE,7,2023,
46.20105004,29.65399,29672,TRUE,7,2022,
50.13981151,31.40427,29664,TRUE,4,2022,
47.003527,33.745283,29663,FALSE,3,2023,
50.56081344,29.65111,29662,TRUE,7,2023,
49.56016984,30.50601,29656,TRUE,10,2022,
50.07469607,29.91569,29655,TRUE,8,2023,
49.40758334,32.08633333,29654,TRUE,5,2023,
49.57875961,36.7950432,29652,TRUE,3,2022,
